,Age,Temperature,Flow_Rate,Pipe_type
0,50.0,122.0,8903.0,3
1,50.0,115.8,8947.0,3
2,51.0,122.6,8960.0,3
3,51.0,114.39999999999999,8833.0,3
4,51.0,118.19999999999999,8756.0,3
5,51.0,119.99999999999999,8925.0,3
6,52.0,119.79999999999998,9145.0,3
7,52.0,113.59999999999998,8628.0,3
8,52.0,121.39999999999998,9046.0,3
9,52.0,118.19999999999997,8998.0,3
10,53.0,112.99999999999997,8878.0,3
11,53.0,112.79999999999997,8425.0,3
12,53.0,116.59999999999997,8920.0,3
13,53.0,121.39999999999996,8731.0,3
14,54.0,114.19999999999996,8787.0,3
15,54.0,116.99999999999996,8600.0,3
16,54.0,120.79999999999995,8590.0,3
17,54.0,116.59999999999995,8673.0,3
18,55.0,115.39999999999995,8597.0,3
19,55.0,113.19999999999995,8225.0,3
20,55.0,116.99999999999994,8388.0,3
21,55.0,119.79999999999994,8320.0,3
22,56.0,115.59999999999994,8051.0,3
23,56.0,114.39999999999993,8371.0,3
24,56.0,119.19999999999993,8278.0,3
25,56.0,112.99999999999993,8449.0,3
26,57.0,110.79999999999993,8171.0,3
27,57.0,116.59999999999992,8004.0,3
28,57.0,118.39999999999992,8286.0,3
29,57.0,117.19999999999992,7928.0,3
30,58.0,115.99999999999991,7783.0,3
31,58.0,112.79999999999991,8165.0,3
32,58.0,112.59999999999991,7694.0,3
33,58.0,110.3999999999999,7974.0,3
34,59.0,113.1999999999999,7953.0,3
35,59.0,116.9999999999999,8175.0,3
36,59.0,113.7999999999999,8159.0,3
37,59.0,116.5999999999999,7826.0,3
38,60.0,110.39999999999989,7595.0,3
39,60.0,111.19999999999989,7753.0,3
40,60.0,109.99999999999989,7784.0,3
41,60.0,115.79999999999988,7859.0,3
42,61.0,106.59999999999988,7749.0,3
43,61.0,115.39999999999988,7791.0,3
44,61.0,107.19999999999987,7624.0,3
45,61.0,109.99999999999987,7395.0,3
46,62.0,114.79999999999987,7435.0,3
47,62.0,105.59999999999987,7421.0,3
48,62.0,108.39999999999986,7535.0,3
49,62.0,110.19999999999986,7213.0,3
50,63.0,104.99999999999986,7222.0,3
51,63.0,111.79999999999986,7282.0,3
