,Age,Temperature,Flow_Rate,Pipe_type
0,10.0,118.0,8973.0,1
1,10.0,120.8,9223.0,1
2,10.0,119.6,8988.0,1
3,11.0,115.39999999999999,9223.0,1
4,11.0,122.19999999999999,9225.0,1
5,11.0,118.99999999999999,8812.0,1
6,11.0,116.79999999999998,8995.0,1
7,11.0,120.59999999999998,8946.0,1
8,12.0,119.39999999999998,8978.0,1
9,12.0,119.19999999999997,8610.0,1
10,12.0,114.99999999999997,8411.0,1
11,12.0,113.79999999999997,8920.0,1
12,12.0,116.59999999999997,8741.0,1
13,13.0,117.39999999999996,8660.0,1
14,13.0,116.19999999999996,8749.0,1
15,13.0,116.99999999999996,8377.0,1
16,13.0,117.79999999999995,8212.0,1
17,13.0,120.59999999999995,8174.0,1
18,14.0,113.39999999999995,8350.0,1
19,14.0,114.19999999999995,8533.0,1
20,14.0,115.99999999999994,8219.0,1
21,14.0,115.79999999999994,8618.0,1
22,14.0,116.59999999999994,8590.0,1
23,15.0,112.39999999999993,8092.0,1
24,15.0,114.19999999999993,8067.0,1
25,15.0,111.99999999999993,8202.0,1
26,15.0,109.79999999999993,8281.0,1
27,15.0,116.59999999999992,7877.0,1
28,16.0,117.39999999999992,8445.0,1
29,16.0,118.19999999999992,8150.0,1
30,16.0,112.99999999999991,8222.0,1
31,16.0,113.79999999999991,8360.0,1
32,16.0,109.59999999999991,7875.0,1
33,17.0,110.3999999999999,7984.0,1
34,17.0,110.1999999999999,7940.0,1
35,17.0,114.9999999999999,8248.0,1
36,17.0,110.7999999999999,8088.0,1
37,17.0,111.5999999999999,7792.0,1
38,18.0,107.39999999999989,7565.0,1
39,18.0,109.19999999999989,8126.0,1
40,18.0,107.99999999999989,7620.0,1
41,18.0,110.79999999999988,8047.0,1
42,18.0,106.59999999999988,8021.0,1
43,19.0,114.39999999999988,7630.0,1
44,19.0,114.19999999999987,7541.0,1
45,19.0,106.99999999999987,7510.0,1
46,19.0,113.79999999999987,7365.0,1
47,19.0,111.59999999999987,7394.0,1
48,20.0,114.39999999999986,7396.0,1
49,20.0,111.19999999999986,7426.0,1
50,20.0,109.99999999999986,7548.0,1
51,20.0,107.79999999999986,7453.0,1
52,20.0,108.59999999999985,7695.0,1
53,21.0,112.39999999999985,7157.0,1
54,21.0,111.19999999999985,7212.0,1
55,21.0,105.99999999999984,7012.0,1
56,21.0,103.79999999999984,7533.0,1
57,21.0,111.59999999999984,7507.0,1
58,22.0,107.39999999999984,7328.0,1
